'y-axis saved as y
'Q,PG3_59701-1.xye,SigmaYobs,Ycalc,Diff
27.9256053,79.2527513,3.08178621,0,0
27.9032213,78.9332929,3.07436462,0,0
27.8808552,79.9831377,3.08849185,0,0
27.8585071,78.9432831,3.07025627,0,0
27.836177,79.1549873,3.0690321,0,0
27.8138648,79.607016,3.06975034,0,0
27.7915706,77.9431064,3.03896942,0,0
27.7692942,79.2577468,3.05790506,0,0
27.7470359,79.6326155,3.06139251,0,0
27.7247954,80.3056289,3.07178944,0,0
27.7025727,79.1885209,3.05467522,0,0
27.6803679,78.8414911,3.0474928,0,0
27.658181,77.5273141,3.02393677,0,0
27.6360119,78.2874152,3.03074821,0,0
27.6138607,79.1698656,3.04043379,0,0
27.5917272,80.1066122,3.05180207,0,0
27.5696115,78.0444449,3.01660938,0,0
27.5475136,78.7736433,3.02599909,0,0
27.5254335,78.7769447,3.02533028,0,0
27.5033711,77.7589894,3.00481732,0,0
27.4813264,79.2166345,3.02261214,0,0
27.4592995,78.0278134,3.00059816,0,0
27.4372903,79.0350338,3.01194281,0,0
27.4152987,78.9282492,3.00692809,0,0
27.3933248,79.0296349,3.00593805,0,0
27.3713687,79.6199043,3.01385124,0,0
27.3494301,78.641521,2.99486324,0,0
27.3275092,78.4348184,2.98570703,0,0
27.3056059,78.2605288,2.98153725,0,0
27.2837202,79.1220631,2.99366746,0,0
27.2618521,78.8395605,2.98484379,0,0
27.2400016,78.6480954,2.97575893,0,0
27.2181686,80.3825947,2.99773108,0,0
27.1963532,79.1384888,2.97697828,0,0
27.1745553,78.5989546,2.96617742,0,0
27.152775,78.2112752,2.95947482,0,0
27.1310121,78.739943,2.96637878,0,0
27.1092667,79.1249132,2.96905437,0,0
27.0875389,80.5843191,2.98831061,0,0
27.0658285,79.192369,2.96370934,0,0
27.0441355,77.886243,2.94145538,0,0
27.02246,79.2607401,2.95968515,0,0
27.0008018,79.387831,2.95561823,0,0
26.9791611,78.784053,2.94221121,0,0
26.9575378,78.4967346,2.93958857,0,0
26.9359319,79.4603226,2.95234723,0,0
26.9143433,79.4391314,2.94540171,0,0
26.8927721,78.2780864,2.92407167,0,0
26.8712182,78.3509708,2.92480696,0,0
26.8496816,78.9930303,2.93219944,0,0
26.8281624,78.8012909,2.9258542,0,0
26.8066604,78.5724431,2.91945596,0,0
26.7851758,78.9918605,2.92213387,0,0
26.7637083,79.0625588,2.91854132,0,0
26.7422582,80.0510541,2.93066073,0,0
26.7208253,78.1618376,2.90151179,0,0
26.6994096,79.998757,2.92682232,0,0
26.6780111,79.1622879,2.91001656,0,0
26.6566298,79.4125083,2.90889525,0,0
26.6352657,79.9973785,2.91553566,0,0
26.6139188,78.7700329,2.89560422,0,0
26.592589,78.6751776,2.89045132,0,0
26.5712764,79.516895,2.89829754,0,0
26.5499809,78.9755921,2.88660201,0,0
26.5287025,79.1761287,2.88999279,0,0
26.5074412,78.0550447,2.87273981,0,0
26.486197,77.9098673,2.86791055,0,0
26.4649699,79.5323097,2.88476327,0,0
26.4437598,78.526264,2.86347592,0,0
26.4225668,78.8821655,2.86723058,0,0
26.4013908,78.9983616,2.86860739,0,0
26.3802318,79.3598646,2.87173704,0,0
26.3590898,79.6577771,2.87112784,0,0
26.3379648,79.3197483,2.863308,0,0
26.3168568,79.8274449,2.86968485,0,0
26.2957657,78.3177519,2.84380741,0,0
26.2746917,78.2616268,2.84073986,0,0
26.2536345,79.377033,2.85497968,0,0
26.2325942,77.7004274,2.82693646,0,0
26.2115709,78.3591865,2.83347141,0,0
26.1905645,79.29471,2.84633437,0,0
26.1695749,77.975999,2.82557996,0,0
26.1486023,77.9171614,2.82325168,0,0
26.1276464,78.5609825,2.82870729,0,0
26.1067074,77.8582763,2.81497591,0,0
26.0857852,78.2242831,2.81838491,0,0
26.0648799,78.1951143,2.81678825,0,0
26.0439913,77.1266318,2.79909237,0,0
26.0231195,77.3821452,2.79996008,0,0
26.0022645,79.3315973,2.82400643,0,0
25.9814263,80.2897892,2.83442899,0,0
25.9606048,79.1422004,2.81607341,0,0
25.9398,78.4445686,2.80430586,0,0
25.919012,79.6844425,2.8182695,0,0
25.8982406,78.9720306,2.80351361,0,0
25.8774859,79.0763233,2.80356053,0,0
25.856748,79.6015292,2.81059918,0,0
25.8360266,77.7241331,2.78071036,0,0
