'y-axis saved as y
'Q,BL21Robot0305_FY25c1-2025-01-14-1420_scan2.xye,SigmaYobs,Ycalc,Diff
0.430618679,28.0308993,5.29442152,0,0
0.431370038,27.2433529,5.21951653,0,0
0.432121396,26.9763149,5.19387282,0,0
0.432872754,26.8875146,5.18531721,0,0
0.43362411,26.6431317,5.16169853,0,0
0.434375466,27.5861674,5.25225356,0,0
0.435126821,26.873031,5.18392043,0,0
0.435878175,27.3873833,5.23329565,0,0
0.436629528,27.0321241,5.19924265,0,0
0.437380881,26.8612465,5.18278366,0,0
0.438132232,27.3711184,5.23174143,0,0
0.438883583,27.2671848,5.221799,0,0
0.439634933,26.6603797,5.16336902,0,0
0.440386282,27.0999674,5.2057629,0,0
0.44113763,26.490748,5.14691636,0,0
0.441888977,26.479737,5.14584658,0,0
0.442640324,26.7410858,5.17117838,0,0
0.44339167,26.7839851,5.17532464,0,0
0.444143015,26.5420149,5.1518943,0,0
0.444894359,26.4382631,5.14181515,0,0
0.445645702,26.549372,5.15260828,0,0
0.446397044,26.665058,5.16382204,0,0
0.447148386,26.7301274,5.17011871,0,0
0.447899726,26.3858491,5.13671579,0,0
0.448651066,26.4348059,5.14147896,0,0
0.449402405,26.8830352,5.18488526,0,0
0.450153743,26.8902983,5.18558563,0,0
0.45090508,26.8381321,5.18055326,0,0
0.451656416,26.5363426,5.15134377,0,0
0.452407752,26.3276111,5.13104386,0,0
0.453159087,26.4505003,5.14300499,0,0
0.45391042,26.4649316,5.1444078,0,0
0.454661753,26.3342009,5.13168597,0,0
0.455413085,26.464945,5.1444091,0,0
0.456164416,26.4928425,5.14711982,0,0
0.456915747,26.2348484,5.12199653,0,0
0.457667076,26.7308811,5.17019159,0,0
0.458418405,26.7681132,5.17379099,0,0
0.459169732,26.3329804,5.13156705,0,0
0.459921059,27.0546256,5.20140612,0,0
0.460672385,26.9705714,5.19331988,0,0
0.46142371,26.0760086,5.10646733,0,0
0.462175034,26.0259636,5.10156482,0,0
0.462926358,26.594493,5.15698487,0,0
0.46367768,26.734239,5.17051632,0,0
0.464429001,27.1307414,5.20871783,0,0
0.465180322,26.4174062,5.13978659,0,0
0.465931642,26.179988,5.11663835,0,0
0.466682961,26.5323406,5.15095531,0,0
0.467434279,26.0993869,5.1087559,0,0
0.468185596,25.8552522,5.08480601,0,0
0.468936912,26.8659327,5.18323573,0,0
0.469688227,26.3295761,5.13123534,0,0
0.470439542,26.6699063,5.16429146,0,0
0.471190855,25.9288451,5.09203742,0,0
0.471942168,26.096108,5.10843498,0,0
0.47269348,25.8647777,5.08574259,0,0
0.47344479,25.8490748,5.08419854,0,0
0.4741961,26.674683,5.16475392,0,0
0.474947409,26.1852034,5.11714797,0,0
0.475698717,26.4307679,5.14108626,0,0
0.476450025,25.9487555,5.0939921,0,0
0.477201331,26.1428829,5.11301114,0,0
0.477952636,26.4397516,5.14195989,0,0
0.478703941,25.8594793,5.08522166,0,0
0.479455244,26.3360494,5.13186607,0,0
0.480206547,25.8521656,5.0845025,0,0
0.480957849,26.2069604,5.11927342,0,0
0.48170915,26.6642726,5.16374599,0,0
0.482460449,26.2830461,5.12669934,0,0
0.483211748,25.9627096,5.09536158,0,0
0.483963047,25.7140482,5.07090211,0,0
0.484714344,26.5358715,5.15129804,0,0
0.48546564,25.8594842,5.08522214,0,0
0.486216935,26.031986,5.10215504,0,0
0.48696823,26.0549941,5.10440928,0,0
0.487719523,25.8842579,5.08765741,0,0
0.488470816,25.9864382,5.0976895,0,0
0.489222107,25.7142895,5.0709259,0,0
0.489973398,25.5475903,5.05446242,0,0
0.490724688,25.9838157,5.09743226,0,0
0.491475976,25.8074113,5.08009954,0,0
0.492227264,25.7671745,5.07613776,0,0
0.492978551,26.7710912,5.17407878,0,0
0.493729837,26.2543912,5.1239039,0,0
0.494481122,25.2164881,5.02160214,0,0
0.495232406,26.098645,5.10868329,0,0
0.495983689,26.2651554,5.12495419,0,0
0.496734972,26.0992876,5.10874619,0,0
0.497486253,26.3990861,5.1380041,0,0
0.498237533,25.7271363,5.07219245,0,0
0.498988813,25.2555826,5.02549327,0,0
0.499740091,25.7420981,5.07366713,0,0
0.500491368,26.1846704,5.11709589,0,0
0.501242645,25.9461858,5.09373986,0,0
0.501993921,25.9149394,5.0906718,0,0
0.502745195,26.1875498,5.11737723,0,0
0.503496469,25.5890325,5.05856032,0,0
0.504247741,26.0358799,5.10253662,0,0
0.504999013,25.7402317,5.07348319,0,0
0.505750284,25.2786504,5.02778782,0,0
0.506501554,26.160377,5.1147216,0,0
0.507252823,25.7686421,5.07628231,0,0
0.508004091,25.8137076,5.0807192,0,0
0.508755357,26.1315295,5.11190077,0,0
0.509506623,25.5574958,5.05544219,0,0
0.510257888,25.9575113,5.09485145,0,0
0.511009152,25.8938918,5.08860412,0,0
0.511760415,25.4555484,5.04534919,0,0
0.512511677,26.0106374,5.10006249,0,0
0.513262938,25.9873021,5.09777423,0,0
0.514014199,25.6212611,5.06174487,0,0
0.514765458,25.3054617,5.03045343,0,0
0.515516716,25.8181555,5.08115691,0,0
0.516267973,25.4968086,5.04943646,0,0
0.517019229,25.3909551,5.03894385,0,0
0.517770484,25.0980309,5.0097935,0,0
0.518521739,25.6593525,5.06550614,0,0
0.519272992,25.7765287,5.07705906,0,0
0.520024244,25.3158202,5.0314829,0,0
0.520775495,25.9391132,5.09304557,0,0
0.521526746,25.1925415,5.01921722,0,0
0.522277995,25.9685137,5.09593109,0,0
0.523029243,25.7821423,5.07761187,0,0
